Tarefa: collectionType | Estagio: 1st | Fold: 0 | Hits@1: 0.9347826086956522
Tarefa: collectionType | Estagio: 2nd | Fold: 0 | Hits@1: 0.9320987654320988
Tarefa: collectionType | Estagio: 3rd | Fold: 0 | Hits@1: 0.9363636363636364
Tarefa: collectionType | Estagio: 4th | Fold: 0 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 1 | Hits@1: 0.9517543859649122
Tarefa: collectionType | Estagio: 2nd | Fold: 1 | Hits@1: 0.9625
Tarefa: collectionType | Estagio: 3rd | Fold: 1 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 1 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 2 | Hits@1: 0.9429824561403509
Tarefa: collectionType | Estagio: 2nd | Fold: 2 | Hits@1: 0.98125
Tarefa: collectionType | Estagio: 3rd | Fold: 2 | Hits@1: 0.9722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 2 | Hits@1: 0.9814814814814815
Tarefa: collectionType | Estagio: 1st | Fold: 3 | Hits@1: 0.9424778761061947
Tarefa: collectionType | Estagio: 2nd | Fold: 3 | Hits@1: 0.9430379746835443
Tarefa: collectionType | Estagio: 3rd | Fold: 3 | Hits@1: 0.9166666666666666
Tarefa: collectionType | Estagio: 4th | Fold: 3 | Hits@1: 0.9444444444444444
Tarefa: collectionType | Estagio: 1st | Fold: 4 | Hits@1: 0.9380530973451328
Tarefa: collectionType | Estagio: 2nd | Fold: 4 | Hits@1: 0.9367088607594937
Tarefa: collectionType | Estagio: 3rd | Fold: 4 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 4th | Fold: 4 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 5 | Hits@1: 0.9513274336283186
Tarefa: collectionType | Estagio: 2nd | Fold: 5 | Hits@1: 0.9683544303797469
Tarefa: collectionType | Estagio: 3rd | Fold: 5 | Hits@1: 0.9722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 5 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 6 | Hits@1: 0.9473684210526315
Tarefa: collectionType | Estagio: 2nd | Fold: 6 | Hits@1: 0.95625
Tarefa: collectionType | Estagio: 3rd | Fold: 6 | Hits@1: 0.9537037037037037
Tarefa: collectionType | Estagio: 4th | Fold: 6 | Hits@1: 0.9259259259259259
Tarefa: collectionType | Estagio: 1st | Fold: 7 | Hits@1: 0.9385964912280702
Tarefa: collectionType | Estagio: 2nd | Fold: 7 | Hits@1: 0.94375
Tarefa: collectionType | Estagio: 3rd | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 4th | Fold: 7 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 8 | Hits@1: 0.9478260869565217
Tarefa: collectionType | Estagio: 2nd | Fold: 8 | Hits@1: 0.9506172839506173
Tarefa: collectionType | Estagio: 3rd | Fold: 8 | Hits@1: 0.9545454545454546
Tarefa: collectionType | Estagio: 4th | Fold: 8 | Hits@1: 0.9629629629629629
Tarefa: collectionType | Estagio: 1st | Fold: 9 | Hits@1: 0.9429824561403509
Tarefa: collectionType | Estagio: 2nd | Fold: 9 | Hits@1: 0.96875
Tarefa: collectionType | Estagio: 3rd | Fold: 9 | Hits@1: 0.9722222222222222
Tarefa: collectionType | Estagio: 4th | Fold: 9 | Hits@1: 0.9814814814814815
Tarefa: collectionSite | Estagio: 1st | Fold: 0 | Hits@20: 0.6422413793103449
Tarefa: collectionSite | Estagio: 2nd | Fold: 0 | Hits@20: 0.6049382716049383
Tarefa: collectionSite | Estagio: 3rd | Fold: 0 | Hits@20: 0.5909090909090909
Tarefa: collectionSite | Estagio: 4th | Fold: 0 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 1st | Fold: 1 | Hits@20: 0.6695652173913044
Tarefa: collectionSite | Estagio: 2nd | Fold: 1 | Hits@20: 0.6604938271604939
Tarefa: collectionSite | Estagio: 3rd | Fold: 1 | Hits@20: 0.6727272727272727
Tarefa: collectionSite | Estagio: 4th | Fold: 1 | Hits@20: 0.6481481481481481
Tarefa: collectionSite | Estagio: 1st | Fold: 2 | Hits@20: 0.6379310344827587
Tarefa: collectionSite | Estagio: 2nd | Fold: 2 | Hits@20: 0.6296296296296297
Tarefa: collectionSite | Estagio: 3rd | Fold: 2 | Hits@20: 0.7454545454545455
Tarefa: collectionSite | Estagio: 4th | Fold: 2 | Hits@20: 0.8148148148148148
Tarefa: collectionSite | Estagio: 1st | Fold: 3 | Hits@20: 0.6491228070175439
Tarefa: collectionSite | Estagio: 2nd | Fold: 3 | Hits@20: 0.65
Tarefa: collectionSite | Estagio: 3rd | Fold: 3 | Hits@20: 0.7129629629629629
Tarefa: collectionSite | Estagio: 4th | Fold: 3 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 1st | Fold: 4 | Hits@20: 0.6533923303834808
Tarefa: collectionSite | Estagio: 2nd | Fold: 4 | Hits@20: 0.6371308016877637
Tarefa: collectionSite | Estagio: 3rd | Fold: 4 | Hits@20: 0.6728395061728394
Tarefa: collectionSite | Estagio: 4th | Fold: 4 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 1st | Fold: 5 | Hits@20: 0.6956521739130435
Tarefa: collectionSite | Estagio: 2nd | Fold: 5 | Hits@20: 0.691358024691358
Tarefa: collectionSite | Estagio: 3rd | Fold: 5 | Hits@20: 0.7454545454545455
Tarefa: collectionSite | Estagio: 4th | Fold: 5 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 6 | Hits@20: 0.6458333333333333
Tarefa: collectionSite | Estagio: 2nd | Fold: 6 | Hits@20: 0.6068376068376068
Tarefa: collectionSite | Estagio: 3rd | Fold: 6 | Hits@20: 0.6415094339622641
Tarefa: collectionSite | Estagio: 4th | Fold: 6 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 7 | Hits@20: 0.7178362573099415
Tarefa: collectionSite | Estagio: 2nd | Fold: 7 | Hits@20: 0.74375
Tarefa: collectionSite | Estagio: 3rd | Fold: 7 | Hits@20: 0.75
Tarefa: collectionSite | Estagio: 4th | Fold: 7 | Hits@20: 0.6851851851851852
Tarefa: collectionSite | Estagio: 1st | Fold: 8 | Hits@20: 0.6842105263157895
Tarefa: collectionSite | Estagio: 2nd | Fold: 8 | Hits@20: 0.725
Tarefa: collectionSite | Estagio: 3rd | Fold: 8 | Hits@20: 0.7037037037037037
Tarefa: collectionSite | Estagio: 4th | Fold: 8 | Hits@20: 0.6666666666666666
Tarefa: collectionSite | Estagio: 1st | Fold: 9 | Hits@20: 0.6710526315789473
Tarefa: collectionSite | Estagio: 2nd | Fold: 9 | Hits@20: 0.68125
Tarefa: collectionSite | Estagio: 3rd | Fold: 9 | Hits@20: 0.6296296296296297
