,node,neighbor,type,Unnamed: 0
0,10.1021/np800106x,Antibacterial,doi_bioActivity,
1,10.1021/np4006822,Antileishmanial,doi_bioActivity,
2,10.1021/jf60217a066,Insect antennae response,doi_bioActivity,
3,10.1021/jf00030a035,Cytotoxic,doi_bioActivity,
4,10.1021/jf063451x,Anti-inflamatory,doi_bioActivity,
5,10.1093/mutage/gep034,Cytotoxic,doi_bioActivity,
6,10.1080/14786410412331271979,Cytotoxic,doi_bioActivity,
7,10.1002/cbdv.200800342,Cytotoxic,doi_bioActivity,
8,10.1021/cc100076k,Inhibition of Cathepsin V,doi_bioActivity,
9,10.1590/S0102-695X2010005000017,Inhibition of Glycosidase,doi_bioActivity,
10,10.1021/np9703656,Antifungal,doi_bioActivity,
11,10.1590/S0103-50532007000700017,Antioxidant,doi_bioActivity,
12,10.1016/S0031-9422(99)00132-6,Anticancer,doi_bioActivity,
13,10.1016/j.biortech.2010.01.041,Inhibition of Protease,doi_bioActivity,
14,10.5935/0100-4042.20140049,Cytotoxic,doi_bioActivity,
15,10.1021/cc100076k,Antitrypanosomal,doi_bioActivity,
16,10.1515/znc-2009-11-1212,Inhibition of Acetylcholinesterase,doi_bioActivity,
17,10.1055/s-2002-36346,Antibacterial,doi_bioActivity,
18,10.1016/j.jpba.2012.08.028,Antitrypanosomal,doi_bioActivity,
19,10.1590/S0103-50532009000100029,Antitrypanosomal,doi_bioActivity,
20,10.1016/j.chroma.2009.02.009,Antitrypanosomal,doi_bioActivity,
21,10.5935/0103-5053.19960024,Antifungal,doi_bioActivity,
22,10.1021/np049863m,Antioxidant,doi_bioActivity,
23,10.1080/14786419.2011.647020,Antiallergenic,doi_bioActivity,
24,10.1016/j.phytochem.2008.01.006,Inhibition of Glycosidase,doi_bioActivity,
25,10.1515/znc-2002-5-602,Insecticidal,doi_bioActivity,
26,10.1021/np1007476,Inhibition of Acetylcholinesterase,doi_bioActivity,
27,10.1021/np500453x,Inhibition of Cathepsin L,doi_bioActivity,
28,10.1016/j.phytochem.2006.09.005,Antifungal,doi_bioActivity,
29,10.1016/j.phytochem.2005.06.019,Antioxidant,doi_bioActivity,
30,10.1155/2013/835081,Antifungal,doi_bioActivity,
31,10.1016/S0031-9422(00)00225-9,Antibacterial,doi_bioActivity,
32,10.1590/S0100-40422010001000006,Cytotoxic,doi_bioActivity,
33,10.1016/j.phytochem.2006.09.005,Cytotoxic,doi_bioActivity,
34,10.1016/S0031-9422(00)00226-0,Antifungal,doi_bioActivity,
35,10.1016/j.phytochem.2007.08.012,Antitrypanosomal,doi_bioActivity,
36,10.1021/np900644x,Inhibition of Acetylcholinesterase,doi_bioActivity,
37,10.1016/S0031-9422(98)00249-0,Cytotoxic,doi_bioActivity,
38,10.1016/0031-9422(81)80027-1,Anesthetic,doi_bioActivity,
39,10.1021/np070312g,Anti-inflamatory,doi_bioActivity,
40,10.1590/S0103-50532005000800029,Antifungal,doi_bioActivity,
41,10.1016/S0031-9422(00)00248-X,Antitrypanosomal,doi_bioActivity,
42,10.3390/molecules190812031,Antileishmanial,doi_bioActivity,
43,10.1016/j.jphotobiol.2013.01.006,Inhibition of uncoupled electron transport,doi_bioActivity,
44,10.1021/np9704617,Antifungal,doi_bioActivity,
45,10.1016/S0014-5793(02)02700-X,Antitrypanosomal,doi_bioActivity,
46,10.1515/znc-2002-5-602,Cytotoxic,doi_bioActivity,
47,10.1021/jf00030a035,Anticancer,doi_bioActivity,
48,10.1515/znc-2002-5-602,Anticancer,doi_bioActivity,
49,10.1590/S0073-47212009000100009,Insecticidal,doi_bioActivity,
50,10.1590/S0103-50532007000700017,Antifungal,doi_bioActivity,
51,10.1590/S0103-50532005000800025,Antifungal,doi_bioActivity,
52,10.1023/B:JOEC.0000042400.14451.08,Insecticidal,doi_bioActivity,
53,10.1016/j.phytol.2010.11.003,Inhibition of Acetylcholinesterase,doi_bioActivity,
54,10.1590/S0103-50532005000800025,Inhibition of Acetylcholinesterase,doi_bioActivity,
55,10.1016/j.cbi.2010.08.008,Cytotoxic,doi_bioActivity,
56,10.1080/14786410903335232,Anticancer,doi_bioActivity,
57,10.1016/S0031-9422(98)00069-7,Inhibition of Glycosidase,doi_bioActivity,
58,10.1590/S0100-40422008000400018,Inhibition of Myeloperoxodase,doi_bioActivity,
59,10.1016/j.jfca.2003.09.013,Inhibition of Glycosidase,doi_bioActivity,
60,10.1590/S0103-50532003000300007,Antitrypanosomal,doi_bioActivity,
61,10.1080/14786410600907002,Anticancer,doi_bioActivity,
62,10.1021/np800612x,Antifungal,doi_bioActivity,
63,10.1023/A:1025694720727,Antitrypanosomal,doi_bioActivity,
64,10.1080/14786410802243271,Antitrypanosomal,doi_bioActivity,
65,10.1590/S0102-695X2010005000017,Cytotoxic,doi_bioActivity,
66,10.1016/j.jchromb.2012.07.013,Cytotoxic,doi_bioActivity,
67,10.1016/j.phytol.2010.11.003,Antifungal,doi_bioActivity,
68,10.1055/s-0034-1368301,Anticancer,doi_bioActivity,
69,10.1016/j.jep.2007.09.020,Antileishmanial,doi_bioActivity,
70,10.1590/S0100-40422009000600037,Insecticidal,doi_bioActivity,
71,10.1590/S0100-46702007000300002,Antifungal,doi_bioActivity,
72,10.1021/np4006822,Inhibition of Acetylcholinesterase,doi_bioActivity,
73,10.1021/np030100t,Antioxidant,doi_bioActivity,
74,10.1590/S0102-695X2007000300003,Antioxidant,doi_bioActivity,
75,10.1016/0031-9422(73)85048-4,Antitrypanosomal,doi_bioActivity,
76,10.1016/j.phytochem.2005.04.043,Antifungal,doi_bioActivity,
77,10.1016/0040-4020(95)00254-6,Cytotoxic,doi_bioActivity,
78,10.1002/ptr.1249,Antioxidant,doi_bioActivity,
79,10.1021/np500453x,Antimalarial,doi_bioActivity,
80,10.1016/0031-9422(91)85077-D,Antifungal,doi_bioActivity,
81,10.1016/j.phytochem.2006.06.004,Antifungal,doi_bioActivity,
82,10.1016/S0031-9422(97)00598-0,Antitrypanosomal,doi_bioActivity,
83,10.1016/j.bse.2006.06.007,Antifungal,doi_bioActivity,
84,10.1002/cbdv.200590016,Antioxidant,doi_bioActivity,
85,10.1590/S0103-50532005000400031,Insecticidal,doi_bioActivity,
86,10.1248/cpb.56.407,Anti-inflamatory,doi_bioActivity,
87,10.1016/S0031-9422(97)00238-0,Antifungal,doi_bioActivity,
88,10.1590/S0100-40422005000400009,Antifungal,doi_bioActivity,
89,10.1002/ps.478,Insecticidal,doi_bioActivity,
90,10.1002/jobm.200800093,Cytotoxic,doi_bioActivity,
91,10.1002/ps.1278,Insecticidal,doi_bioActivity,
92,10.1590/S0100-40422012000700020,Inhibition of Acetylcholinesterase,doi_bioActivity,
93,10.1016/S0031-9422(03)00153-5,Antitrypanosomal,doi_bioActivity,
94,10.1021/np9004079,Cytotoxic,doi_bioActivity,
95,10.1590/S0103-50532006000300017,Insecticidal,doi_bioActivity,
96,10.1016/S0031-9422(99)00132-6,Cytotoxic,doi_bioActivity,
97,10.1016/j.phytochem.2009.08.013,Antifungal,doi_bioActivity,
98,10.1590/s0100-40422008000700015,Cytotoxic,doi_bioActivity,
99,10.1016/S0031-9422(01)00079-6,Cytotoxic,doi_bioActivity,
100,10.1021/np1007476,Antioxidant,doi_bioActivity,
101,10.1016/j.phytochem.2004.03.039,Antioxidant,doi_bioActivity,
102,10.1590/S0100-40422008000400005,Antitrypanosomal,doi_bioActivity,
