,node,neighbor,type,Unnamed: 0
0,10.1590/S0100-40422010000900005,Piracicaba/SP,doi_collectionSite,
1,10.1590/S0100-40422006000300016,Ibate/SP,doi_collectionSite,
2,10.1016/S0031-9422(01)00431-9,Manaus/AM,doi_collectionSite,
3,10.1016/0040-4020(95)00254-6,Sao Paulo/SP,doi_collectionSite,
4,10.1590/S0100-40422005000400009,Itirapina/SP,doi_collectionSite,
5,10.1080/14786410600907002,Campinas/SP,doi_collectionSite,
6,10.1016/j.micres.2004.06.003,Sao Carlos/SP,doi_collectionSite,
7,10.1590/S0103-50532005000400031,Londrina/PR,doi_collectionSite,
8,10.1021/np800106x,Recife/PE,doi_collectionSite,
9,10.1590/S0103-50532006000300017,Sao Carlos/SP,doi_collectionSite,
10,10.1016/j.phytochem.2005.06.019,Mogi Guacu/SP,doi_collectionSite,
11,10.1021/jf063451x,Belem/PA,doi_collectionSite,
12,10.1021/np049863m,Belem/PA,doi_collectionSite,
13,10.1016/S0031-9422(01)00431-9,Araraquara/SP,doi_collectionSite,
14,10.1016/0031-9422(91)85077-D,Mogi Guacu/SP,doi_collectionSite,
15,10.1023/A:1025694720727,Ibirama/SC,doi_collectionSite,
16,10.1093/mutage/gep034,Sao Miguel Arcanjo/SP,doi_collectionSite,
17,10.1016/S0031-9422(97)00238-0,Mogi Guacu/SP,doi_collectionSite,
18,10.1107/S1600536803019913,Manaus/AM,doi_collectionSite,
19,10.1590/S0103-50532005000800018,Araraquara/SP,doi_collectionSite,
20,10.1021/np1007476,Belem/PA,doi_collectionSite,
21,10.1590/S0100-40422008000400023,Iguape/SP,doi_collectionSite,
22,10.1590/S0103-50532010000500016,Rio Verde/GO,doi_collectionSite,
23,10.1002/cbdv.200800342,Sao Miguel Arcanjo/SP,doi_collectionSite,
24,10.1080/14786410412331271979,Mogi Guacu/SP,doi_collectionSite,
25,10.1016/j.jphotobiol.2013.01.006,N/A/ES,doi_collectionSite,
26,10.4067/S0717-97072009000300004,Sao Paulo/SP,doi_collectionSite,
27,10.1002/ps.478,Rio Claro/SP,doi_collectionSite,
28,10.1021/np50086a012,N/A/MG,doi_collectionSite,
29,10.1021/np030530j,Sao Paulo/SP,doi_collectionSite,
30,10.1016/0031-9422(81)80027-1,Rio De Janeiro/RJ,doi_collectionSite,
31,10.2174/187152010794728620,Vicosa/MG,doi_collectionSite,
32,10.1590/S0103-50532009000400008,Campinas/SP,doi_collectionSite,
33,10.1590/S0102-695X2010000100002,Sao Carlos/SP,doi_collectionSite,
34,10.1016/j.chroma.2009.02.066,Cordeiropolis/SP,doi_collectionSite,
35,10.1515/znc-2002-5-602,Londrina/PR,doi_collectionSite,
36,10.1515/znc-2002-5-602,Cuiaba/MT,doi_collectionSite,
37,10.1016/0031-9422(90)80024-B,N/A/MG,doi_collectionSite,
38,10.1021/np070312g,Araraquara/SP,doi_collectionSite,
39,10.5935/0103-5053.19930018,N/A/ES,doi_collectionSite,
40,10.1016/j.biortech.2010.01.041,Araraquara/SP,doi_collectionSite,
