,node,neighbor,type,Unnamed: 0
0,10.1590/S0100-40422008000400005,Conchocarpus heterophyllus (Rutaceae),doi_collectionSpecie,
1,10.1248/cpb.56.723,Pterogyne nitens (Fabaceae),doi_collectionSpecie,
2,10.1021/np070312g,Senna spectabilis (Fabaceae),doi_collectionSpecie,
3,10.1515/znc-2002-5-602,Amorpha fruticosa,doi_collectionSpecie,
4,10.1515/znc-2008-5-611,Vitex polygama (Verbenaceae),doi_collectionSpecie,
5,10.3390/molecules190812031,Hortia superba (Rutaceae),doi_collectionSpecie,
6,10.1016/S0031-9422(00)00323-X,Picramnia teapensis,doi_collectionSpecie,
7,10.1590/S0103-50532005000400031,Pilocarpus riedelianus,doi_collectionSpecie,
8,10.1590/S0100-40422010001000006,Xylaria sp. (Xylariaceae),doi_collectionSpecie,
9,10.1016/j.biortech.2010.01.041,Piper crassinervium (Piperaceae),doi_collectionSpecie,
10,10.1590/S0103-50532006000300017,Carapa guianensis,doi_collectionSpecie,
11,10.1021/jf100233y,Alchornea glandulosa (Euphorbiaceae),doi_collectionSpecie,
12,10.1515/znc-2002-5-602,Tephrosia candida,doi_collectionSpecie,
13,10.1016/S0031-9422(00)00225-9,Styrax ferrugineus (Styracaceae),doi_collectionSpecie,
14,10.1002/ps.1278,Siphoneugena densiflora (Myrtaceae),doi_collectionSpecie,
15,10.1590/S0103-50532005000400005,Nectandra grandiflora (Lauraceae),doi_collectionSpecie,
16,10.1021/jf063451x,Iryanthera juruensis (Myristicaceae),doi_collectionSpecie,
17,10.1590/S0103-50532005000300018,Almeidea rubra (Rutaceae),doi_collectionSpecie,
18,10.4067/S0717-97072009000300004,Pterogyne nitens (Fabaceae),doi_collectionSpecie,
19,10.2174/187152010794728620,Toona ciliata (Meliacee),doi_collectionSpecie,
20,10.1590/S0103-50532010000500016,Spiranthera odoratissima St. odoratissima (Rutaceae),doi_collectionSpecie,
21,10.1590/S0103-50532003000300007,Murraya paniculata,doi_collectionSpecie,
22,10.5935/0103-5053.19930018,Neoraputia alba (Rutaceae),doi_collectionSpecie,
23,10.1021/np500453x,Metrodorea stipularis,doi_collectionSpecie,
24,10.1590/S0100-40422009000600037,Trichilia elegans (Meliaceae),doi_collectionSpecie,
25,10.1023/A:1025694720727,"Raulinoa echinata (Rutaceae), Swietenia macrophylla (Meliaceae)",doi_collectionSpecie,
26,10.1016/S0031-9422(01)00431-9,Piper arboreum (Piperaceae),doi_collectionSpecie,
27,10.1016/j.phytochem.2006.06.004,Phomopsis cassiae (Valsaceae),doi_collectionSpecie,
28,10.1002/ps.1278,Vitex polygama (Verbenaceae),doi_collectionSpecie,
