,node,neighbor,type,Unnamed: 0
0,10.1016/j.phytochem.2007.08.012,Plant Isolated,doi_collectionType,
1,10.1021/np1007476,Plant Isolated,doi_collectionType,
2,10.1021/jf100233y,Plant Isolated,doi_collectionType,
3,10.1021/np900644x,Plant Isolated,doi_collectionType,
4,10.1590/S0100-40422006000300016,Plant Isolated,doi_collectionType,
5,10.1590/S0102-695X2008000200010,Plant Isolated,doi_collectionType,
6,10.1016/j.jfca.2003.09.013,Plant Isolated,doi_collectionType,
7,10.1590/S0100-40421998000600005,Plant Isolated,doi_collectionType,
8,10.4067/S0717-97072009000300004,Plant Isolated,doi_collectionType,
9,10.1590/S0100-40422008000400005,Plant Isolated,doi_collectionType,
10,10.1021/jf100233y,Semisynthesis Product,doi_collectionType,
11,10.1016/S0031-9422(00)00477-5,Plant Isolated,doi_collectionType,
12,10.2174/187152010794728620,Plant Isolated,doi_collectionType,
13,10.1002/ptr.1249,Plant Isolated,doi_collectionType,
14,10.1590/S0103-50532002000100010,Plant Isolated,doi_collectionType,
15,10.1021/np049863m,Plant Isolated,doi_collectionType,
16,10.1016/S0031-9422(00)00248-X,Plant Isolated,doi_collectionType,
17,10.1016/j.phytochem.2006.06.004,Microorganism isolated,doi_collectionType,
18,10.5935/0103-5053.19960024,Plant Isolated,doi_collectionType,
19,10.1021/np9704617,Plant Isolated,doi_collectionType,
20,10.1590/S0102-695X2010005000017,Plant Isolated,doi_collectionType,
21,10.1002/cbdv.200800342,Plant Isolated,doi_collectionType,
22,10.1002/hlca.200890147,Plant Isolated,doi_collectionType,
23,10.1590/s0100-40422008000700015,Microorganism isolated,doi_collectionType,
24,10.1016/j.bse.2006.06.007,Microorganism isolated,doi_collectionType,
25,10.1016/j.phytochem.2008.01.006,Plant Isolated,doi_collectionType,
26,10.1016/0040-4020(95)00254-6,Plant Isolated,doi_collectionType,
27,10.1055/s-0029-1185364,Plant Isolated,doi_collectionType,
28,10.1248/bpb.31.538,Plant Isolated,doi_collectionType,
29,10.1002/ps.1278,Plant Isolated,doi_collectionType,
30,10.1016/0031-9422(81)80027-1,Plant Isolated,doi_collectionType,
31,10.1055/s-0034-1368301,Microorganism isolated,doi_collectionType,
32,10.1590/S1519-566X2008000600013,Plant Isolated,doi_collectionType,
33,10.1248/cpb.56.723,Plant Isolated,doi_collectionType,
34,10.1016/S0031-9422(03)00153-5,Plant Isolated,doi_collectionType,
35,10.1248/bpb.31.538,Semisynthesis Product,doi_collectionType,
36,10.1016/j.jchromb.2012.07.013,Plant Isolated,doi_collectionType,
37,10.1155/2013/835081,Microorganism isolated,doi_collectionType,
38,10.1590/S0100-40422008000400023,Plant Isolated,doi_collectionType,
39,10.1590/S0102-695X2012005000106,Microorganism isolated,doi_collectionType,
40,10.1590/S0100-40422010000900005,Plant Isolated,doi_collectionType,
41,10.1021/np800106x,Plant Isolated,doi_collectionType,
42,10.1515/znc-2002-5-602,Plant Isolated,doi_collectionType,
43,10.1021/np500453x,Plant Isolated,doi_collectionType,
44,10.1016/S0031-9422(01)00079-6,Plant Isolated,doi_collectionType,
45,10.1590/S0100-40422008000400018,Plant Isolated,doi_collectionType,
46,10.1515/znc-2009-11-1212,Microorganism isolated,doi_collectionType,
47,10.1016/0031-9422(90)80024-B,Plant Isolated,doi_collectionType,
48,10.1590/S0102-695X2009000100002,Plant Isolated,doi_collectionType,
49,10.1590/S0100-40422010001000006,Microorganism isolated,doi_collectionType,
50,10.1055/s-0028-1088323,Plant Isolated,doi_collectionType,
51,10.1021/np50086a012,Plant Isolated,doi_collectionType,
52,10.1021/np800612x,Plant Isolated,doi_collectionType,
53,10.1021/np9004079,Plant Isolated,doi_collectionType,
54,10.3390/molecules190812031,Plant Isolated,doi_collectionType,
55,10.1016/S0031-9422(98)00069-7,Plant Isolated,doi_collectionType,
56,10.1021/np0303963,Plant Isolated,doi_collectionType,
57,10.1016/j.phytochem.2004.03.039,Plant Isolated,doi_collectionType,
58,10.1590/S0100-40422008000400005,Plant Isolated,doi_collectionType,
59,10.1080/14786419.2011.647020,"Plant Isolated, Microorganism isolated",doi_collectionType,
60,10.5935/0100-4042.20140049,Plant Isolated,doi_collectionType,
61,10.1016/S0031-9422(01)00079-6,Plant Isolated,doi_collectionType,
62,10.1590/S0102-695X2007000300003,Plant Isolated,doi_collectionType,
63,10.1002/cbdv.200800342,Plant Isolated,doi_collectionType,
64,10.1080/14786410802243271,Plant Isolated,doi_collectionType,
65,10.1016/0031-9422(81)80027-1,Plant Isolated,doi_collectionType,
66,10.1021/np50086a012,Plant Isolated,doi_collectionType,
67,10.1021/jf00030a035,Plant Isolated,doi_collectionType,
68,10.1515/znc-2002-5-602,Plant Isolated,doi_collectionType,
69,10.1590/S0103-50532006000300017,Plant Isolated,doi_collectionType,
70,10.1016/j.phytochem.2008.01.006,Plant Isolated,doi_collectionType,
71,10.1002/ps.478,Plant Isolated,doi_collectionType,
72,10.1590/S0100-40422010000900005,Plant Isolated,doi_collectionType,
73,10.1093/mutage/gep034,Plant Isolated,doi_collectionType,
74,10.1590/S0103-50532005000800029,Microorganism isolated,doi_collectionType,
75,10.2174/187152010794728620,Semisynthesis Product,doi_collectionType,
76,10.1016/j.bse.2006.06.007,Microorganism isolated,doi_collectionType,
77,10.1021/np800612x,Plant Isolated,doi_collectionType,
78,10.1590/S0102-695X2008000200010,Plant Isolated,doi_collectionType,
79,10.1590/S0103-50532009000400008,Plant Isolated,doi_collectionType,
80,10.1590/S0102-695X2010005000017,Plant Isolated,doi_collectionType,
81,10.2174/187152010794728620,Plant Isolated,doi_collectionType,
82,10.1590/S0100-40422008000400018,Plant Isolated,doi_collectionType,
83,10.1002/ps.1278,Plant Isolated,doi_collectionType,
84,10.1590/S0102-695X2009000100002,Plant Isolated,doi_collectionType,
85,10.1016/j.phytochem.2006.06.004,Microorganism isolated,doi_collectionType,
86,10.1016/S0014-5793(02)02700-X,Plant Isolated,doi_collectionType,
87,10.1021/np9703656,Plant Isolated,doi_collectionType,
88,10.1016/j.jphotobiol.2013.01.006,Plant Isolated,doi_collectionType,
89,10.1016/j.jchromb.2012.07.013,Plant Isolated,doi_collectionType,
90,10.1002/jobm.200800093,Microorganism isolated,doi_collectionType,
91,10.1590/S0102-695X2012005000106,Microorganism isolated,doi_collectionType,
92,10.1590/S0100-40422008000400023,Plant Isolated,doi_collectionType,
93,10.1248/cpb.56.723,Plant Isolated,doi_collectionType,
94,10.1515/znb-2005-0715,Plant Isolated,doi_collectionType,
95,10.1016/j.micres.2004.06.003,Microorganism isolated,doi_collectionType,
96,10.5935/0103-5053.19930018,Plant Isolated,doi_collectionType,
97,10.1016/j.tiv.2008.01.003,Plant Isolated,doi_collectionType,
98,10.1016/j.cbi.2010.08.008,Plant Isolated,doi_collectionType,
99,10.1021/np9704617,Plant Isolated,doi_collectionType,
100,10.1515/znc-2011-5-607,Plant Isolated,doi_collectionType,
101,10.1590/S0103-50532002000100019,Plant Isolated,doi_collectionType,
102,10.1016/j.chroma.2009.02.066,Plant Isolated,doi_collectionType,
103,10.1590/S0103-50532005000800008,Plant Isolated,doi_collectionType,
104,10.1080/14786410600907002,Plant Isolated,doi_collectionType,
105,10.1590/S0100-40422009000600037,Plant Isolated,doi_collectionType,
106,10.1590/S0100-40422004000200005,Plant Isolated,doi_collectionType,
107,10.1590/S0103-50532005000800025,Plant Isolated,doi_collectionType,
108,10.1021/np100840w,Semisynthesis Product,doi_collectionType,
109,10.1021/np100840w,Plant Isolated,doi_collectionType,
