,node,neighbor,type,Unnamed: 0
0,10.1021/jf100233y,Lauryl gallate,doi_name,
1,10.1016/S0031-9422(97)00238-0,β-Gardiol,doi_name,
2,10.1021/np500453x,"1-(5,7-dihydroxy-2,2-dimethylchroman-6-yl)-3-(1,1,4a-trimethyl-2,3,4,4a,9a-hexahydro-1H-xanthen-7-yl)propan-1-one",doi_name,
3,10.1055/s-0029-1185364,Clusifoliol,doi_name,
4,10.1021/jf60217a066,"β-caryophyllene, trans-caryophyllene",doi_name,
5,10.4067/S0717-97072009000300004,Taraxerol acetate,doi_name,
6,10.1021/np060254j,(+)-α-Hydroxyerysotrine,doi_name,
7,10.1590/S0100-46702007000300002,N-acetylnonaine,doi_name,
8,10.1590/S0100-40421998000600005,Plumericin,doi_name,
9,10.1021/np060254j,(+)-Erythravine,doi_name,
10,10.1016/S0031-9422(97)00238-0,α-Gardiol,doi_name,
11,10.1002/hlca.200890147,3β-O-[α-L-rhamnopyranosyl-(1→2)-O-β-D-glucopyranosyl-(1→2)-O-β-D-glucopyranosyl]-28-O-β-D-glucopyranoside pomolate,doi_name,
12,10.1021/np9704617,Viburgenin,doi_name,
13,10.1002/cbdv.200590016,Salacin,doi_name,
14,10.1590/s0100-40422008000700015,Chaetoglobosin B,doi_name,
15,10.1016/j.jpba.2012.08.028,(−)-Grandisin,doi_name,
16,10.1021/np500453x,"1-[3-(3,7-dimethylocta-2,6-dien-1-yl)-2,4,6- trihydroxyphenyl]-3-(4-hydroxyphenyl)propan-1-one",doi_name,
17,10.1590/S0103-50532005000800029,Phomopsilactone,doi_name,
18,10.1080/14786410600907002,5-hydroxy-N-methylseverifoline,doi_name,
19,10.1021/jf100233y,"Gallic acid; 3,4,5-trihydroxybenzoic acid",doi_name,
20,10.1080/14786410412331271979,Homoegonol,doi_name,
21,10.1590/S0100-40422009000600037,11β-acetoxyobacunone,doi_name,
22,10.3390/molecules15129205,Leptomerine,doi_name,
23,10.1590/S0103-50532009000400008,"2,3-dihydro-4,9-dihydroxy-2-(2-hydroxy-propan-2-yl)- 11-methoxy-10-methylfuro[3,2-b]acridin-5(10H)-one",doi_name,
24,10.1590/S0100-40422005000600011,Cytochalasin D,doi_name,
25,10.1155/2013/835081,urauchimycin A,doi_name,
26,10.1515/znb-2005-0715,Syringaldehyde,doi_name,
27,10.1055/s-2002-36346,Stearic acid 4-pentoyloxyphenethyl ester,doi_name,
28,10.1590/S0100-40422010000900005,Alkenoic acid,doi_name,
29,10.1021/np800106x,6α-malonyloxy-n-butyl ester manoyl oxide,doi_name,
30,10.1016/S0031-9422(97)00598-0,"8-hydroxy-3,5,7,3',4',5'-hexamethoxyflavonol",doi_name,
31,10.1016/j.bse.2006.06.007,"(4R)-4,8-dihydroxy-α-tetralone",doi_name,
32,10.1016/S0031-9422(03)00153-5,Diderroside,doi_name,
33,10.1590/S0100-40422004000200005,Trans-3’-methylsulphonylallyl trans-cinnamate,doi_name,
34,10.1016/0031-9422(81)80027-1,Piperovatine,doi_name,
35,10.1515/znc-2002-5-602,amorphispironone,doi_name,
36,10.1055/s-0029-1185364,Isoswertisin-4'-methyl-ether-2''α-L-rhamnoside,doi_name,
37,10.1590/S0100-40422005000600011,2-Hexyl-3-methyl-butanodioic acid,doi_name,
38,10.1515/znb-2005-0715,3β-hydroxy-stigmast-5-en-7-one; 24-β-7-oxositosterol,doi_name,
39,10.1021/np900644x,12′-hydroxy-7′-multijuguinone,doi_name,
40,10.1590/S0100-40422002000300002,"2α,3α-Dihydroxy-urs-12-en-28-oic acid",doi_name,
41,10.1590/S0103-50532009000400008,Citibrasine,doi_name,
42,10.1590/S0102-695X2008000200010,"Acteoside; [β-3,4-dihydroxyphenyl)-ethyl]-(3'-O-α-L-rhamnopyranosyl)-(4'-O-cafeoyl)-β-D-glycopyranoside, verbascoside",doi_name,
43,10.1002/cbdv.200800342,"Casearin X Dialdehyde; (2R*,4aS*,5S*,7R*,8R*,8aS*)-4,4a-Diformyl-1,2,4a,5,6,7,8,8a-octahydro-5-hydroxy-7,8-dimethyl-8-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphthalen-2-yl Butanoate",doi_name,
44,10.1016/j.jphotobiol.2013.01.006,Maculosidine,doi_name,
45,10.1002/hlca.200890147,"3,4,5-trimethoxyphenyl 1-O-β-D-apiofuranosyl-(1→6)-O-β-D-glucopyranoside",doi_name,
46,10.1016/S0031-9422(00)00323-X,Picramnioside F,doi_name,
47,10.5935/0100-4042.20140049,2-butyl-D-fructofuranoside,doi_name,
48,10.1590/S0100-40422005000400009,3-O-β-D-quinovopyranosyl quinovic acid,doi_name,
