node,neighbor,type
10.1515/znc-2009-11-1212,Antifungal,doi_bioActivity
10.1016/j.phytochem.2007.08.012,Antitrypanosomal,doi_bioActivity
10.1016/j.jep.2007.09.020,Antitrypanosomal,doi_bioActivity
10.1016/j.jphotobiol.2013.01.006,Inhibition of ATP synthesis,doi_bioActivity
10.1016/j.phytol.2010.11.003,Inhibition of Acetylcholinesterase,doi_bioActivity
10.1021/cc100076k,Antitrypanosomal,doi_bioActivity
10.1016/j.jchromb.2012.07.013,Cytotoxic,doi_bioActivity
10.1590/S0103-50532005000800008,Antioxidant,doi_bioActivity
10.1016/j.tiv.2008.01.003,Cytotoxic,doi_bioActivity
10.1016/j.phytochem.2008.01.006,Antioxidant,doi_bioActivity
10.1016/j.bse.2006.06.007,Antifungal,doi_bioActivity
10.1590/S0100-40422005000600011,Antifungal,doi_bioActivity
10.1016/S0031-9422(00)00323-X,Antifungal,doi_bioActivity
10.1248/cpb.56.407,Antinociceptive,doi_bioActivity
10.1016/j.chroma.2009.02.009,Antimalarial,doi_bioActivity
10.1590/S0103-50532005000400005,Antioxidant,doi_bioActivity
10.1590/S0100-40422010000900005,Insecticidal,doi_bioActivity
10.1021/np900644x,Inhibition of Acetylcholinesterase,doi_bioActivity
10.1590/S0100-46702007000300002,Antifungal,doi_bioActivity
10.1016/j.jfca.2003.09.013,Antioxidant,doi_bioActivity
10.1590/S0103-50532005000800026,Inhibition of Acetylcholinesterase,doi_bioActivity
10.1023/A:1025694720727,Antitrypanosomal,doi_bioActivity
10.1002/cbdv.200590016,Antioxidant,doi_bioActivity
10.1021/np070312g,Anti-inflamatory,doi_bioActivity
10.1016/j.jphotobiol.2013.01.006,Inhibition of phosphorylating electron transport,doi_bioActivity
10.1590/S0100-40422008000400018,Antifungal,doi_bioActivity
10.1093/mutage/gep034,Genotoxic,doi_bioActivity
10.1016/S0031-9422(00)00226-0,Antifungal,doi_bioActivity
10.1248/cpb.56.723,Antioxidant,doi_bioActivity
10.1021/np800612x,Inhibition of Glycosidase,doi_bioActivity
10.1016/j.phytochem.2004.03.039,Antioxidant,doi_bioActivity
10.1590/S0102-695X2010005000017,Inhibition of Glycosidase,doi_bioActivity
10.1002/ptr.1249,Antioxidant,doi_bioActivity
10.1515/znc-2008-5-611,Antileishmanial,doi_bioActivity
10.1590/S0100-40422008000400018,Inhibition of Glycosidase,doi_bioActivity
10.1016/j.phytochem.2008.01.006,Inhibition of Myeloperoxodase,doi_bioActivity
10.1080/14786410412331271979,Cytotoxic,doi_bioActivity
10.1021/np50086a012,Cytotoxic,doi_bioActivity
10.1016/j.phytochem.2006.06.004,Cytotoxic,doi_bioActivity
10.1021/np500453x,Antichagasic,doi_bioActivity
10.1093/mutage/gep034,Cytotoxic,doi_bioActivity
10.1093/mutage/gep034,Mutagenic,doi_bioActivity
