node,neighbor,type
10.1016/S0031-9422(00)00323-X,Antifungal,doi_bioActivity
10.1590/S0100-46702007000300002,Antifungal,doi_bioActivity
10.1590/S0103-50532009000400008,Antileishmanial,doi_bioActivity
10.1515/znc-2011-5-607,Insecticidal,doi_bioActivity
10.1016/S0031-9422(00)00225-9,Antibacterial,doi_bioActivity
10.1590/S0102-695X2010005000017,Antiangiogenic,doi_bioActivity
10.1590/S0103-50532003000300007,Antitrypanosomal,doi_bioActivity
10.1016/j.phytochem.2008.01.006,Antifungal,doi_bioActivity
10.1007/s10295-012-1165-2,Cytotoxic,doi_bioActivity
10.1016/S0031-9422(00)00225-9,Antifungal,doi_bioActivity
10.1016/0031-9422(90)80024-B,Molluscicidal,doi_bioActivity
10.1080/14786410600907002,Anticancer,doi_bioActivity
10.1002/hlca.200890147,Antifungal,doi_bioActivity
10.1590/S0103-50532002000100019,Insecticidal,doi_bioActivity
10.1016/j.jep.2007.09.020,Antileishmanial,doi_bioActivity
10.1021/jf063451x,Anti-inflamatory,doi_bioActivity
10.1016/j.jfca.2003.09.013,Inhibition of Glycosidase,doi_bioActivity
10.1016/0031-9422(81)80027-1,Anesthetic,doi_bioActivity
10.1021/np900644x,Inhibition of Acetylcholinesterase,doi_bioActivity
10.1590/S0103-50532002000100010,Antitrypanosomal,doi_bioActivity
10.1016/S0031-9422(97)00238-0,Antifungal,doi_bioActivity
10.1016/S0031-9422(97)00598-0,Antitrypanosomal,doi_bioActivity
10.1021/np800612x,Antiangiogenic,doi_bioActivity
10.1016/S0031-9422(01)00079-6,Antifungal,doi_bioActivity
10.1016/j.jphotobiol.2013.01.006,Inhibition of uncoupled electron transport,doi_bioActivity
10.1590/S0103-50532005000400031,Insecticidal,doi_bioActivity
10.1021/np9703656,Antifungal,doi_bioActivity
10.1021/np060254j,Anxiolytic,doi_bioActivity
10.1021/np800612x,Antifungal,doi_bioActivity
10.1021/np800106x,Antibacterial,doi_bioActivity
10.1016/j.phytochem.2008.01.006,Inhibition of Glycosidase,doi_bioActivity
10.1590/S0103-50532009000400008,Antimalarial,doi_bioActivity
10.3390/molecules190812031,Insecticidal,doi_bioActivity
10.1248/cpb.56.723,Inhibition of Glycosidase,doi_bioActivity
10.1021/np1007476,Antioxidant,doi_bioActivity
10.1016/S0031-9422(01)00431-9,Antifungal,doi_bioActivity
10.1002/cbdv.200590016,Antioxidant,doi_bioActivity
10.1021/jf063451x,Antioxidant,doi_bioActivity
