node,neighbor,type
10.1590/S0100-40422010000900005,Piracicaba/SP,doi_collectionSite
10.1016/S0031-9422(00)00477-5,Belem/PA,doi_collectionSite
10.1016/S0031-9422(01)00079-6,Sao Paulo/SP,doi_collectionSite
10.1021/np900644x,Araraquara/SP,doi_collectionSite
10.2174/187152010794728620,Vicosa/MG,doi_collectionSite
10.1590/S0103-50532002000100010,Ibirama/SC,doi_collectionSite
10.1021/np100840w,Campinas/SP,doi_collectionSite
10.5935/0100-4042.20140049,Pirenopolis/GO,doi_collectionSite
10.1016/S0031-9422(98)00249-0,Mogi Guacu/SP,doi_collectionSite
10.1590/S0100-40422002000300002,Mogi Guacu/SP,doi_collectionSite
10.1590/S0102-695X2010000100002,Sao Carlos/SP,doi_collectionSite
10.1021/np049863m,Belem/PA,doi_collectionSite
10.1016/j.phytochem.2009.08.013,Sao Sebastiao Do Passe/BA,doi_collectionSite
10.1016/S0031-9422(00)00226-0,Manaus/AM,doi_collectionSite
10.1590/S0103-50532005000800008,Belem/PA,doi_collectionSite
10.1021/np800106x,Recife/PE,doi_collectionSite
10.1590/S0100-40422008000400005,Pirenopolis/GO,doi_collectionSite
10.1590/S0103-50532005000800025,Ibirama/SC,doi_collectionSite
10.1016/j.bse.2006.06.007,N/A/SP,doi_collectionSite
10.1021/jf100233y,Mogi Guacu/SP,doi_collectionSite
10.5935/0103-5053.19930018,N/A/ES,doi_collectionSite
10.1016/j.jphotobiol.2013.01.006,Sao Paulo/SP,doi_collectionSite
10.1016/j.phytochem.2007.08.012,Ibate/SP,doi_collectionSite
10.1590/S0100-40422005000600011,Mogi Guacu/SP,doi_collectionSite
10.1590/S0103-50532009000100029,Sao Carlos/SP,doi_collectionSite
10.1021/np060254j,Rifaina/SP,doi_collectionSite
10.3390/molecules190812031,Manaus/AM,doi_collectionSite
10.1021/np800612x,Sao Paulo/SP,doi_collectionSite
10.1021/np030100t,Mogi Guacu/SP,doi_collectionSite
10.1590/S0100-40422008000400018,Sao Paulo/SP,doi_collectionSite
10.1002/ptr.1249,Ribeirao Preto/SP,doi_collectionSite
10.1590/S0102-695X2010005000017,Sao Paulo/SP,doi_collectionSite
10.1016/S0031-9422(00)00248-X,N/A/ES,doi_collectionSite
10.1007/s10295-012-1165-2,Ribeirao Preto/SP,doi_collectionSite
10.1007/s10295-012-1165-2,N/A/MS,doi_collectionSite
10.1590/S0103-50532005000400031,Londrina/PR,doi_collectionSite
10.1016/j.phytochem.2005.06.019,Mogi Guacu/SP,doi_collectionSite
10.1002/hlca.200890147,Apore/GO,doi_collectionSite
10.1016/j.phytochem.2005.04.043,Araraquara/SP,doi_collectionSite
10.1016/j.jfca.2003.09.013,N/A/SP,doi_collectionSite
10.1016/S0031-9422(01)00431-9,Manaus/AM,doi_collectionSite
10.1016/S0031-9422(01)00431-9,Araraquara/SP,doi_collectionSite
10.1016/S0031-9422(03)00153-5,Manaus/AM,doi_collectionSite
10.1002/cbdv.200590016,Sao Carlos/SP,doi_collectionSite
10.1002/cbdv.200800342,Sao Miguel Arcanjo/SP,doi_collectionSite
10.1016/0031-9422(73)85048-4,N/A/AM,doi_collectionSite
10.1021/np500453x,Campinas/SP,doi_collectionSite
10.1590/S0100-40422008000400005,Itacoatiara/AM,doi_collectionSite
10.1590/S0100-40422008000400005,Manaus/AM,doi_collectionSite
10.1016/j.phytochem.2006.09.005,Araraquara/SP,doi_collectionSite
10.1016/j.jchromb.2012.07.013,Sao Carlos/SP,doi_collectionSite
10.1016/S0031-9422(99)00132-6,Ibate/SP,doi_collectionSite
10.1590/S0100-40422012000700020,Itaituba/PA,doi_collectionSite
10.1515/znc-2002-5-602,Cuiaba/MT,doi_collectionSite
10.1515/znc-2002-5-602,Londrina/PR,doi_collectionSite
10.1016/0031-9422(90)80024-B,N/A/MG,doi_collectionSite
10.1016/j.cbi.2010.08.008,Sao Miguel Arcanjo/SP,doi_collectionSite
10.1021/np1007476,Belem/PA,doi_collectionSite
10.1016/S0014-5793(02)02700-X,Araraquara/SP,doi_collectionSite
10.1055/s-2002-36346,Recife/PE,doi_collectionSite
10.1016/j.phytochem.2004.03.039,Goiania/GO,doi_collectionSite
10.1515/znc-2011-5-607,Sao Paulo/SP,doi_collectionSite
10.1590/S0103-50532005000300018,Chapada Dos Guimaraes/MT,doi_collectionSite
10.1016/j.tiv.2008.01.003,Ribeirao Preto/SP,doi_collectionSite
10.1055/s-0029-1185364,Pocos De Caldas/MG,doi_collectionSite
10.1055/s-0028-1088323,Sao Carlos/SP,doi_collectionSite
10.1016/j.phytochem.2008.01.006,Sao Paulo/SP,doi_collectionSite
10.1016/j.jpba.2012.08.028,Sao Paulo/SP,doi_collectionSite
10.1590/S0103-50532006000300017,Sao Carlos/SP,doi_collectionSite
10.1590/S0103-50532006000300017,"N/A/SP, Cedrela fissilis",doi_collectionSite
