node,neighbor,type
10.1248/bpb.31.538,Araraquara/SP,doi_collectionSite
10.1021/jf100233y,Mogi Guacu/SP,doi_collectionSite
10.1021/np030530j,Ibate/SP,doi_collectionSite
10.1016/j.jphotobiol.2013.01.006,N/A/ES,doi_collectionSite
10.1248/cpb.56.723,Sao Paulo/SP,doi_collectionSite
10.1002/ptr.1249,Ribeirao Preto/SP,doi_collectionSite
10.1080/14786410802243271,N/A/SP,doi_collectionSite
10.1590/S0103-50532005000300018,Chapada Dos Guimaraes/MT,doi_collectionSite
10.1016/S0031-9422(99)00132-6,Ibate/SP,doi_collectionSite
10.1016/j.jpba.2012.08.028,Sao Paulo/SP,doi_collectionSite
10.1515/znc-2008-5-611,Pocos De Caldas/MG,doi_collectionSite
10.1016/S0014-5793(02)02700-X,Araraquara/SP,doi_collectionSite
10.1016/0031-9422(91)85077-D,Mogi Guacu/SP,doi_collectionSite
10.1590/S0103-50532005000800008,Belem/PA,doi_collectionSite
10.3390/molecules15129205,Sao Paulo/SP,doi_collectionSite
10.1021/np800106x,Recife/PE,doi_collectionSite
10.1016/S0031-9422(98)00249-0,Mogi Guacu/SP,doi_collectionSite
10.1016/j.biortech.2010.01.041,Araraquara/SP,doi_collectionSite
10.1016/0031-9422(90)80024-B,N/A/MG,doi_collectionSite
10.1021/np9704617,Mogi Guacu/SP,doi_collectionSite
10.1016/S0031-9422(00)00477-5,Belem/PA,doi_collectionSite
10.1590/S0100-40422008000400023,Iguape/SP,doi_collectionSite
10.1021/np900644x,Araraquara/SP,doi_collectionSite
10.1590/S0103-50532002000100019,Rio Claro/SP,doi_collectionSite
10.1590/S0103-50532005000800018,Araraquara/SP,doi_collectionSite
10.1590/S0100-40422004000200005,Cunha/SP,doi_collectionSite
10.1016/S0031-9422(00)00225-9,Mogi Guacu/SP,doi_collectionSite
10.1016/j.phytochem.2006.06.004,Araraquara/SP,doi_collectionSite
10.1590/s0100-40422008000700015,Ribeirao Preto/SP,doi_collectionSite
10.1016/S0031-9422(01)00079-6,Sao Paulo/SP,doi_collectionSite
10.1007/s10295-012-1165-2,Ribeirao Preto/SP,doi_collectionSite
