node,neighbor,type
10.1016/j.phytochem.2004.03.039,Plant Isolated,doi_collectionType
10.1590/S0100-40422008000400005,Plant Isolated,doi_collectionType
10.1080/14786419.2011.647020,"Plant Isolated, Microorganism isolated",doi_collectionType
10.5935/0100-4042.20140049,Plant Isolated,doi_collectionType
10.1016/S0031-9422(01)00079-6,Plant Isolated,doi_collectionType
10.1590/S0102-695X2007000300003,Plant Isolated,doi_collectionType
10.1002/cbdv.200800342,Plant Isolated,doi_collectionType
10.1080/14786410802243271,Plant Isolated,doi_collectionType
10.1016/0031-9422(81)80027-1,Plant Isolated,doi_collectionType
10.1021/np50086a012,Plant Isolated,doi_collectionType
10.1021/jf00030a035,Plant Isolated,doi_collectionType
10.1515/znc-2002-5-602,Plant Isolated,doi_collectionType
10.1590/S0103-50532006000300017,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2008.01.006,Plant Isolated,doi_collectionType
10.1002/ps.478,Plant Isolated,doi_collectionType
10.1590/S0100-40422010000900005,Plant Isolated,doi_collectionType
10.1093/mutage/gep034,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800029,Microorganism isolated,doi_collectionType
10.2174/187152010794728620,Semisynthesis Product,doi_collectionType
10.1016/j.bse.2006.06.007,Microorganism isolated,doi_collectionType
10.1021/np800612x,Plant Isolated,doi_collectionType
10.1590/S0102-695X2008000200010,Plant Isolated,doi_collectionType
10.1590/S0103-50532009000400008,Plant Isolated,doi_collectionType
10.1590/S0102-695X2010005000017,Plant Isolated,doi_collectionType
10.2174/187152010794728620,Plant Isolated,doi_collectionType
10.1590/S0100-40422008000400018,Plant Isolated,doi_collectionType
10.1002/ps.1278,Plant Isolated,doi_collectionType
10.1590/S0102-695X2009000100002,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2006.06.004,Microorganism isolated,doi_collectionType
10.1016/S0014-5793(02)02700-X,Plant Isolated,doi_collectionType
