node,neighbor,type
10.1016/0031-9422(90)80024-B,Plant Isolated,doi_collectionType
10.1590/S0100-46702007000300002,Plant Isolated,doi_collectionType
10.1080/14786410412331271979,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800008,Plant Isolated,doi_collectionType
10.1248/cpb.56.407,Semisynthesis Product,doi_collectionType
10.1590/S0103-50532005000800025,Plant Isolated,doi_collectionType
10.1021/np800612x,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2004.03.039,Plant Isolated,doi_collectionType
10.1590/S0100-40422010001000006,Microorganism isolated,doi_collectionType
10.1515/znc-2002-5-602,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000400005,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800026,Microorganism isolated,doi_collectionType
10.1016/j.bmc.2010.12.056,Plant Isolated,doi_collectionType
10.1055/s-0034-1368301,Microorganism isolated,doi_collectionType
10.1021/np4006822,Microorganism isolated,doi_collectionType
10.1016/j.phytol.2010.11.003,Microorganism isolated,doi_collectionType
10.1016/S0031-9422(01)00079-6,Plant Isolated,doi_collectionType
10.1590/S0073-47212009000100009,Plant Isolated,doi_collectionType
10.1016/j.jpba.2012.08.028,Plant Isolated,doi_collectionType
10.5935/0103-5053.19960024,Plant Isolated,doi_collectionType
10.1016/j.bse.2006.06.007,Microorganism isolated,doi_collectionType
10.1016/S0031-9422(01)00431-9,Plant Isolated,doi_collectionType
10.1590/S0100-40422006000300016,Plant Isolated,doi_collectionType
10.1016/S0031-9422(03)00153-5,Plant Isolated,doi_collectionType
10.1021/np9704617,Plant Isolated,doi_collectionType
10.1016/j.tiv.2008.01.003,Plant Isolated,doi_collectionType
10.1021/cc100076k,Plant Isolated,doi_collectionType
10.1590/S0100-40422004000200005,Plant Isolated,doi_collectionType
10.1055/s-0029-1185364,Plant Isolated,doi_collectionType
10.1590/S0100-40422012000700020,Plant Isolated,doi_collectionType
10.5935/0100-4042.20140049,Plant Isolated,doi_collectionType
10.1021/np060254j,Plant Isolated,doi_collectionType
10.1002/hlca.200890147,Plant Isolated,doi_collectionType
10.1107/S1600536803019913,Plant Isolated,doi_collectionType
10.1590/S0100-40422005000400009,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800018,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2005.06.019,Plant Isolated,doi_collectionType
10.1002/jobm.200800093,Microorganism isolated,doi_collectionType
10.1080/14786410802243271,Plant Isolated,doi_collectionType
10.1021/np0303963,Plant Isolated,doi_collectionType
10.1590/S0100-40422005000600011,Microorganism isolated,doi_collectionType
10.1021/np4006822,Semisynthesis Product,doi_collectionType
10.1515/znb-2005-0715,Plant Isolated,doi_collectionType
10.2174/187152010794728620,Plant Isolated,doi_collectionType
10.2174/187152010794728620,Semisynthesis Product,doi_collectionType
10.1007/s10295-012-1165-2,Biotransformation Product,doi_collectionType
10.1007/s10295-012-1165-2,Plant Isolated,doi_collectionType
10.1590/S0100-40422009000600037,Plant Isolated,doi_collectionType
10.1021/np0103970,Plant Isolated,doi_collectionType
10.3390/molecules190812031,Plant Isolated,doi_collectionType
10.1590/S0102-695X2010000100002,Plant Isolated,doi_collectionType
10.1016/0031-9422(81)80027-1,Plant Isolated,doi_collectionType
10.1590/S0100-40422008000400005,Plant Isolated,doi_collectionType
10.1016/0031-9422(91)85077-D,Plant Isolated,doi_collectionType
10.1021/np100840w,Semisynthesis Product,doi_collectionType
10.1021/np100840w,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800029,Microorganism isolated,doi_collectionType
10.1590/S1519-566X2008000600013,Plant Isolated,doi_collectionType
10.1590/S0102-695X2008000200010,Plant Isolated,doi_collectionType
10.1021/np50086a012,Plant Isolated,doi_collectionType
10.1590/S0103-50532009000100029,Biotransformation Product,doi_collectionType
10.1590/S0103-50532009000400008,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2008.01.006,Plant Isolated,doi_collectionType
10.1590/S0102-695X2007000300003,Plant Isolated,doi_collectionType
10.1055/s-2002-36346,Plant Isolated,doi_collectionType
10.1590/S0103-50532003000300007,Plant Isolated,doi_collectionType
10.1248/bpb.31.538,Semisynthesis Product,doi_collectionType
10.1248/bpb.31.538,Plant Isolated,doi_collectionType
10.1080/14786410600907002,Plant Isolated,doi_collectionType
10.1016/j.jep.2007.09.020,Plant Isolated,doi_collectionType
10.1016/S0031-9422(00)00323-X,Plant Isolated,doi_collectionType
10.1590/S0100-40422002000300002,Plant Isolated,doi_collectionType
10.1002/cbdv.200800342,Plant Isolated,doi_collectionType
10.1021/jf063451x,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2009.08.013,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2006.06.004,Microorganism isolated,doi_collectionType
10.1016/S0031-9422(00)00225-9,Plant Isolated,doi_collectionType
10.1021/jf00030a035,Plant Isolated,doi_collectionType
10.1080/14786419.2011.647020,"Plant Isolated, Microorganism isolated",doi_collectionType
10.1021/np070312g,Plant Isolated,doi_collectionType
10.1107/S160053680302107X,Plant Isolated,doi_collectionType
10.1590/S0102-695X2010005000017,Plant Isolated,doi_collectionType
10.1021/np1007476,Plant Isolated,doi_collectionType
10.1590/S0102-695X2009000100002,Plant Isolated,doi_collectionType
10.1021/np030100t,Plant Isolated,doi_collectionType
10.1016/0040-4020(95)00254-6,Plant Isolated,doi_collectionType
10.1590/S0103-50532007000700017,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000400031,Plant Isolated,doi_collectionType
10.1021/np9004079,Plant Isolated,doi_collectionType
10.1515/znc-2008-5-611,Plant Isolated,doi_collectionType
10.1093/mutage/gep034,Plant Isolated,doi_collectionType
10.1016/0031-9422(73)85048-4,Plant Isolated,doi_collectionType
10.1590/S0103-50532002000100010,Plant Isolated,doi_collectionType
