node,neighbor,type
10.1248/cpb.56.723,Plant Isolated,doi_collectionType
10.1021/np9004079,Plant Isolated,doi_collectionType
10.1590/S0100-40422004000200005,Plant Isolated,doi_collectionType
10.1590/S0100-40422005000400009,Plant Isolated,doi_collectionType
10.1002/ptr.1249,Plant Isolated,doi_collectionType
10.1248/bpb.31.538,Semisynthesis Product,doi_collectionType
10.1016/S0031-9422(98)00069-7,Plant Isolated,doi_collectionType
10.1590/S0100-40422006000300016,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000400005,Plant Isolated,doi_collectionType
10.1021/jf063451x,Plant Isolated,doi_collectionType
10.1016/j.jpba.2012.08.028,Plant Isolated,doi_collectionType
10.1080/14786410802243271,Plant Isolated,doi_collectionType
10.1055/s-2002-36346,Plant Isolated,doi_collectionType
10.1021/np50086a012,Plant Isolated,doi_collectionType
10.1590/S0103-50532002000100019,Plant Isolated,doi_collectionType
10.1590/S0100-40422002000300002,Plant Isolated,doi_collectionType
10.1248/cpb.56.407,Semisynthesis Product,doi_collectionType
10.1016/j.tiv.2008.01.003,Plant Isolated,doi_collectionType
10.1021/np100840w,Semisynthesis Product,doi_collectionType
10.1590/S0100-40422008000400005,Plant Isolated,doi_collectionType
10.1016/0040-4020(95)00254-6,Plant Isolated,doi_collectionType
10.1021/cc100076k,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800018,Plant Isolated,doi_collectionType
10.1080/14786410600907002,Plant Isolated,doi_collectionType
10.1016/S0031-9422(00)00477-5,Plant Isolated,doi_collectionType
10.1016/S0031-9422(97)00238-0,Plant Isolated,doi_collectionType
10.1016/j.jchromb.2012.07.013,Plant Isolated,doi_collectionType
10.1021/np9703656,Plant Isolated,doi_collectionType
10.1002/ps.1278,Plant Isolated,doi_collectionType
10.1016/S0014-5793(02)02700-X,Plant Isolated,doi_collectionType
10.1016/S0031-9422(03)00153-5,Plant Isolated,doi_collectionType
10.1590/S0102-695X2010005000017,Plant Isolated,doi_collectionType
10.1016/S0031-9422(97)00598-0,Plant Isolated,doi_collectionType
10.1515/znb-2005-0715,Plant Isolated,doi_collectionType
10.1055/s-0034-1368301,Microorganism isolated,doi_collectionType
10.1021/np800106x,Plant Isolated,doi_collectionType
10.1016/j.jfca.2003.09.013,Plant Isolated,doi_collectionType
10.5935/0100-4042.20140049,Plant Isolated,doi_collectionType
10.1590/S0103-50532010000500016,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2008.01.006,Plant Isolated,doi_collectionType
10.1590/S0102-695X2010000100002,Plant Isolated,doi_collectionType
10.2174/187152010794728620,Semisynthesis Product,doi_collectionType
10.2174/187152010794728620,Plant Isolated,doi_collectionType
10.1016/j.phytochem.2006.09.005,Microorganism isolated,doi_collectionType
10.1016/j.phytol.2010.11.003,Microorganism isolated,doi_collectionType
10.1002/cbdv.200800342,Plant Isolated,doi_collectionType
10.1590/S0100-46702007000300002,Plant Isolated,doi_collectionType
10.1021/jf100233y,Semisynthesis Product,doi_collectionType
10.1021/jf100233y,Plant Isolated,doi_collectionType
10.1590/S0103-50532003000500012,Plant Isolated,doi_collectionType
10.1007/s10295-012-1165-2,Plant Isolated,doi_collectionType
10.1007/s10295-012-1165-2,Biotransformation Product,doi_collectionType
10.1016/0031-9422(81)80027-1,Plant Isolated,doi_collectionType
10.1016/j.bmc.2010.12.056,Plant Isolated,doi_collectionType
10.1590/S0102-695X2008000200010,Plant Isolated,doi_collectionType
10.1590/S0103-50532005000800026,Microorganism isolated,doi_collectionType
10.1016/j.chroma.2009.02.066,Plant Isolated,doi_collectionType
10.1016/j.jphotobiol.2013.01.006,Plant Isolated,doi_collectionType
10.1016/0031-9422(90)80024-B,Plant Isolated,doi_collectionType
10.1021/np1007476,Plant Isolated,doi_collectionType
10.1590/S0100-40422010000900005,Plant Isolated,doi_collectionType
10.1016/j.chroma.2009.02.009,Plant Isolated,doi_collectionType
10.1590/S0100-40422010001000006,Microorganism isolated,doi_collectionType
10.1016/j.biortech.2010.01.041,Biotransformation Product,doi_collectionType
10.1002/hlca.200890147,Plant Isolated,doi_collectionType
10.1590/S0102-695X2009000100002,Plant Isolated,doi_collectionType
10.1021/np030530j,Plant Isolated,doi_collectionType
