node,neighbor,type
10.1016/S0031-9422(00)00477-5,Nectandrin B,doi_name
10.1515/znc-2009-11-1212,8-methoxymellein,doi_name
10.1016/S0031-9422(00)00226-0,"10,11-dihydropiperine; Δα,β-dihydropiperine",doi_name
10.1021/jf063451x,"21´-(3,4-Methylenedioxyphenyl)-henicosanoic acid",doi_name
10.1155/2013/835081,urauchimycin A,doi_name
10.1002/ps.1278,20-hydroxyecdysone; polypodine A,doi_name
10.1023/A:1025694720727,germacrene D,doi_name
10.1080/14786410600907002,citrusinine-I,doi_name
10.2174/187152010794728620,"22-hydroxytirucalla-7,24-diene-2,3-dione",doi_name
10.1515/znc-2009-11-1212,Cyclo-(L-Pro-L-Val),doi_name
10.1021/np030530j,Piperaduncine B,doi_name
10.1016/S0031-9422(00)00226-0,"4,5-dihydropiperyline",doi_name
10.1590/S0100-40422005000400009,3-O-β-D-quinovopyranosyl cincholic acid,doi_name
10.1021/np50086a012,"Cusculine; 1,2,3,5,6-pentamethoxy-9-acridone",doi_name
10.1107/S160053680302107X,"5,7-dimethoxy-2,2-dimethyl-2H-1-benzopyran-6-propanoic acid",doi_name
10.1590/S0102-695X2007000300003,Amentoflavone,doi_name
10.1002/jobm.200800093,"(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one",doi_name
10.1016/S0031-9422(99)00132-6,"3-(3',7 '-dimethyl-2',6 '-octadienyl)-4-methoxy-benzoic acid",doi_name
10.1590/S0103-50532005000300018,4-metoxi-6-[2-(metilamino)fenil]- 2H-piran-2-ona,doi_name
10.1590/S0103-50532005000800025,fraxinellone,doi_name
10.1590/S0100-40422010001000006,"19,20-Epoxycytochalasin Q",doi_name
10.1023/B:JOEC.0000042400.14451.08,α-eudesmol,doi_name
10.1248/cpb.56.407,2-(R)-Methyl-6-(S)-(tetradecyl-13'-one)-3(R)-O-tert-butyldimethylsilyl-piperidine,doi_name
10.1021/jf063451x,Sargachromenol,doi_name
10.1016/S0031-9422(01)00431-9,"N-[10-(13,14-methylenedioxyphenyl)-7(E),9(Z)-pentadienoyl]-pyrrolidine",doi_name
10.1093/mutage/gep034,"Caseargrewiin F; (1R*,3S*,5S*,6aR*,7S*,8R*,10R*,10aR*)-1,3-Bis(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-[(2Z)-3-methylpenta-2,4-dien-1-yl]naphtho[1,8a-c]furan-5-yl Butanoate",doi_name
10.1016/j.jchromb.2012.07.013,[10]-gingerol,doi_name
10.1590/S0100-40422008000400018,Quercetin 3-O-sophoroside,doi_name
10.1016/S0031-9422(00)00477-5,Epi-guaiacin,doi_name
10.1055/s-0029-1185364,Clusifoliol,doi_name
10.1016/0031-9422(90)80024-B,2-(1'-pentenyl)-Quinoline,doi_name
10.1080/14786410903335232,Isobutyl gallate,doi_name
10.1016/j.bmc.2010.12.056,5-hydroxynoracronycine; Atalaphyllidine,doi_name
10.1515/znc-2008-5-611,3-O-methylquercetin,doi_name
10.1016/j.phytochem.2005.06.019,1-O-(E)-feruloyl-β-D-glucopyranoside,doi_name
10.1016/S0031-9422(00)00248-X,"3',4'-methylenedioxy-5,7-dimethoxyflavone",doi_name
10.2174/187152010794728620,Ocotillone,doi_name
10.1021/jf100233y,Lauryl gallate,doi_name
10.3390/molecules190812031,Isopimpinellin,doi_name
10.1002/ps.1278,shidasterone,doi_name
10.1515/znc-2011-5-607,β-photogedunin,doi_name
10.1021/cc100076k,"Luteolin; 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one",doi_name
10.1016/S0031-9422(01)00079-6,Dibenzyl sulphide,doi_name
10.1021/np0103970,"3,21-Di-epi-feroniellide B",doi_name
10.1515/znc-2008-5-611,"2α,3α,19α- trihydroxyurs-12-en-28-oic acid",doi_name
10.1016/j.chroma.2009.02.009,"5,7-dimethoxy-2,2-dimethyl-2H-1-benzopyran-6-propanoate",doi_name
10.1021/np030100t,"2-(2'-O-trans-caffeoyl)-C-β-D-glucopyranosyl-1,3,6,7-tetrahydroxyxanthone",doi_name
10.1016/j.biortech.2010.01.041,"3,4-dihydroxybenzoic acid geranyl ester",doi_name
10.1248/cpb.56.723,Sorbifolin 6-O-β-glucopyranoside,doi_name
10.3390/molecules15129205,Leptomerine,doi_name
10.1080/14786410600907002,atalaphyllinine,doi_name
10.1021/np100840w,"2,6-di-O-acetylcasearupestrin D",doi_name
10.1016/j.phytochem.2005.06.019,"1,6-di-O-caffeoyl-β-D-glucopyranoside",doi_name
10.1021/np4006822,Mycoleptone A,doi_name
10.1248/bpb.31.538,(2S)-Methyl-8-isopentyl-2-methyl-2-(4'-methylpentyl)chroman-6-carboxylate,doi_name
10.1016/S0031-9422(01)00431-9,"N-[10- (13,14-methylenedioxyphenyl)-7(E)-pentaenoyl]-pyrrolidine",doi_name
10.1016/j.bmc.2010.12.056,Pyranofoline,doi_name
10.1021/jf00030a035,2-methyl-5-pentadecylresorcinol,doi_name
10.1021/np030530j,Methyl taboganate; Methyl 4-hydroxy-3-(3'-methyl-1'-oxo-2'-butenyl)benzoate,doi_name
10.1021/np060254j,(+)-Erythravine,doi_name
10.1002/ps.1278,Isoorientin,doi_name
10.1021/np500453x,"1-(5,7-dihydroxy-2,2-dimethylchroman-6-yl)-3-(1,1,4a-trimethyl-2,3,4,4a,9a-hexahydro-1H-xanthen-7-yl)propan-1-one",doi_name
10.1016/S0031-9422(00)00323-X,Mayoside C,doi_name
10.1590/S0103-50532005000800008,Kaempferol-3-O-α-L-rhamnopyranosyl-(1-6)-α-L-rhamnopyranosyl-(1-4)-β-D-glucopyranoside,doi_name
10.1016/j.phytochem.2005.06.019,1-O-(E)-caffeoyl-β-D-glucopyranoside,doi_name
10.1590/S0100-40422010001000006,"19,20-Epoxycytochalasin D",doi_name
10.1515/znb-2005-0715,Platydesmine,doi_name
10.1021/np049863m,Turbinatine,doi_name
10.1515/znc-2008-5-611,p-hydroxybenzoic acid,doi_name
10.1590/S0102-695X2010005000017,"N-1,N-2,N-3-Triisopentenylguanidine",doi_name
10.1590/S0100-46702007000300002,Sinapyl 4-O-β-D-glucopyranoside alcohol,doi_name
10.1016/j.chroma.2009.02.066,Xanthyletin,doi_name
10.5935/0103-5053.19960024,11-O-trans-feruloylteucrein,doi_name
10.1016/S0031-9422(01)00079-6,Di(benzyltrithio) methane,doi_name
10.1590/S0100-46702007000300002,Liriodenine,doi_name
10.5935/0100-4042.20140049,3-Oxoursolic acid,doi_name
10.1021/np100840w,Casearupestrin B,doi_name
10.1590/S0100-40422008000400005,Haplotusine,doi_name
10.1016/0031-9422(90)80024-B,2-n-Pentylquinoline,doi_name
10.1021/jf00030a035,"5-[8(Z),11(Z)-pentadecadienyl]resorcinol",doi_name
10.1016/0031-9422(81)80027-1,Piperovatine,doi_name
10.1021/jf063451x,Sargaquinoic acid,doi_name
10.1590/S0102-695X2010005000017,Nitensidine C,doi_name
10.1590/S0103-50532005000800008,Kaempferol-3-O-D-galactopyranoside,doi_name
10.1016/S0031-9422(00)00225-9,Di-hydrodehydrodiconiferyl alcohol,doi_name
10.1248/bpb.31.538,"Methyl-8-hydroxy-2,2-dimethylchroman-6-carboxylate",doi_name
10.1021/jf100233y,n-Propyl gallate,doi_name
10.1016/S0031-9422(03)00153-5,6'-Acetyl-β-D-glucopyranosyldiderroside,doi_name
10.1590/S0102-695X2010000100002,taxifolin,doi_name
